t1_prior,11,12,21,22,we1,we2,e1,e2,payoff
0.77,0.0,0.7566643882,0.0,0.2433356118,0.7894736842,0.0,0.2105263158,0.0,-0.971052631579
0.78,0.0,0.7408906883,0.0,0.2591093117,0.7894736842,0.0,0.2105263158,0.0,-0.963157894737
0.79,0.0,0.7255163225,0.0,0.2744836775,0.7894736842,0.0,0.2105263158,0.0,-0.955263157895
0.8,0.0,0.7105263158,0.0,0.2894736842,0.7894736842,0.0,0.2105263158,0.0,-0.947368421053
0.81,0.0,0.6959064327,0.0,0.3040935673,0.7894736842,0.0,0.2105263158,0.0,-0.939473684211
0.82,0.0,0.6816431322,0.0,0.3183568678,0.7894736842,0.0,0.2105263158,0.0,-0.931578947368
0.83,0.0,0.6677235257,0.0,0.3322764743,0.7894736842,0.0,0.2105263158,0.0,-0.923684210526
0.84,0.0,0.6541353383,0.0,0.3458646617,0.7894736842,0.0,0.2105263158,0.0,-0.915789473684
0.85,0.0,0.6408668731,0.0,0.3591331269,0.7894736842,0.0,0.2105263158,0.0,-0.907894736842
0.86,0.0,0.6279069767,0.0,0.3720930233,0.7894736842,0.0,0.2105263158,0.0,-0.9
0.87,0.0,0.6152450091,0.0,0.3847549909,0.7894736842,0.0,0.2105263158,0.0,-0.892105263158
0.88,0.0,0.6028708134,0.0,0.3971291866,0.7894736842,0.0,0.2105263158,0.0,-0.884210526316
0.89,0.0,0.5907746895,0.0,0.4092253105,0.7894736842,0.0,0.2105263158,0.0,-0.876315789474
0.9,0.0,0.5789473684,0.0,0.4210526316,0.7894736842,0.0,0.2105263158,0.0,-0.868421052632
0.91,0.0,0.5673799884,0.0,0.4326200116,0.7894736842,0.0,0.2105263158,0.0,-0.860526315789
0.92,0.0,0.5560640732,0.0,0.4439359268,0.7894736842,0.0,0.2105263158,0.0,-0.852631578947
0.93,0.0,0.544991511,0.0,0.455008489,0.7894736842,0.0,0.2105263158,0.0,-0.844736842105
0.94,0.0,0.5341545353,0.0,0.4658454647,0.7894736842,0.0,0.2105263158,0.0,-0.836842105263
0.95,0.0,0.5235457064,0.0,0.4764542936,0.7894736842,0.0,0.2105263158,0.0,-0.828947368421
0.96,0.0,0.5131578947,0.0,0.4868421053,0.7894736842,0.0,0.2105263158,0.0,-0.821052631579
0.97,0.0,0.5029842648,0.0,0.4970157352,0.7894736842,0.0,0.2105263158,0.0,-0.813157894737
0.98,0.0,0.4930182599,0.0,0.5069817401,0.7894736842,0.0,0.2105263158,0.0,-0.805263157895
0.99,0.0,0.4832535885,0.0,0.5167464115,0.7894736842,0.0,0.2105263158,0.0,-0.797368421053
1.0,0.4736842105,0.0,0.5263157895,0.0,0.7894736842,0.0,0.2105263158,0.0,-0.789473684211
