t1_prior,equilibrium,11,12,21,22,we1,we2,e1,e2,payoff,uniform
0.48,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.31772727273,-2.8175
0.49,nash,0.2553983619,0.7446016381,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.694778481
0.49,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.32079545455,-2.80875
0.5,nash,0.2405063291,0.7594936709,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848102
0.5,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.32386363636,-2.8
0.51,nash,0.2250064583,0.7749935417,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.694778481
0.51,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.32693181818,-2.79125
0.52,nash,0.2088607595,0.7911392405,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848101
0.52,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.33,-2.7825
0.53,nash,0.1920280097,0.8079719903,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848101
0.53,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.33306818182,-2.77375
0.54,nash,0.1744634012,0.8255365988,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848102
0.54,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.33613636364,-2.765
0.55,nash,0.1561181435,0.8438818565,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949368,-2.694778481
0.55,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.33920454545,-2.75625
0.56,nash,0.1369390104,0.8630609896,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949368,-2.694778481
0.56,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.34227272727,-2.7475
0.57,nash,0.1168678246,0.8831321754,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949368,-2.69477848099
0.57,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.34534090909,-2.73875
0.58,nash,0.095840868,0.904159132,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848101
0.58,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.34840909091,-2.73
0.59,nash,0.0737882062,0.9262117938,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848103
